url,readability,sentence_level_sentiment,sentence_level_objectivity,bias,credibility,trust_metric,google_page_rank,alexa_reach_rank
https://www.bbc.co.uk/news/av/world-51286433/venezuela-crisis-forced-jos-abroad-to-access-hiv-drugs,nan,12.447916666666666,77.91666666666667,100,95.0,96.0,9,102.0
https://earther.gizmodo.com/climate-threats-are-grounds-for-seeking-asylum-un-body-1841132046,nan,8.048362193362193,73.74511544011544,100,75.0,60.0,8,529.0
https://www.bbc.co.uk/news/world-europe-51081865,nan,12.135416666666668,71.68402777777779,50,95.0,96.0,9,102.0
https://www.bbc.co.uk/news/world-australia-51202534,nan,17.380726911976915,68.79825036075036,50,95.0,96.0,9,102.0
https://www.bbc.co.uk/news/world-africa-51183521,nan,14.779857397504454,67.84410279263221,50,95.0,96.0,9,102.0
https://www.reuters.com/article/us-myanmar-rohingya-china-insight-idUSKBN1ZJ0SY,nan,13.77003262940763,67.60281385281385,50,100.0,87.0,9,544.0
https://news.yahoo.com/cold-humiliated-syrians-displaced-yet-173321396.html,nan,9.973958333333332,70.82457386363636,50,87.5,95.0,8,8.0
https://www.yahoo.com/lifestyle/meghan-markles-interaction-fan-during-161413676.html,nan,9.759747775372777,70.43457641895141,100,87.5,95.0,8,8.0
https://time.com/5768347/climate-refugees-un-ioane-teitiota/,nan,8.583056171470805,70.51050135501356,50,95.0,64.0,8,1028.0
https://www.theglobeandmail.com/world/article-world-court-orders-myanmar-to-prevent-rohingya-genocide/,nan,16.485819327731093,72.52229225023342,50,nan,nan,nan,nan
https://timesofindia.indiatimes.com/india/bru-tribals-from-mizoram-to-permanently-settle-in-tripura-pact-signed/articleshow/73306927.cms,nan,11.879068462401797,67.79236812570146,0,nan,nan,nan,nan
https://www.theatlantic.com/international/archive/2020/01/britain-brexit-boris-johnson-influence-control/605734/,nan,13.391631652661067,61.71428571428572,50,92.5,79.0,8,1360.0
https://www.bbc.co.uk/news/world-europe-51458702,nan,12.77001772382207,67.43057289932291,100,95.0,96.0,9,102.0
https://www.aljazeera.com/indepth/features/syrian-women-girls-sold-sexual-slavery-lebanon-200128131326841.html,nan,10.904151172901173,73.97807368913138,100,82.5,73.0,8,nan
https://www.aljazeera.com/news/2020/02/palestinian-refugee-crisis-longing-right-return-200207105751675.html,nan,4.821428571428571,80.80357142857143,100,82.5,73.0,8,nan
https://www.designboom.com/design/avihai-mizrahi-neil-nenner-black-swan-lifeboat-01-24-2020/,nan,16.654040404040405,63.06818181818181,100,nan,nan,nan,nan
https://venturebeat.com/2020/01/13/carnegie-mellon-researchers-propose-ai-that-surfaces-positive-online-comments/,nan,14.244829244829242,59.539943081609756,100,nan,nan,nan,nan
https://indianexpress.com/article/north-east-india/tripura/pact-to-end-bru-refugee-crisis-may-be-signed-today/,nan,9.209486166007906,79.53557312252964,0,nan,nan,nan,nan
https://www.aljazeera.com/indepth/features/striking-portraits-celebrate-individuality-refugee-women-200208151344429.html,nan,14.997362012987011,64.07165404040404,100,82.5,73.0,8,nan
http://www.thesun.co.uk/news/10736004/germany-obsessed-refugee-porn/,nan,9.431598594642074,64.74603174603175,100,95.0,69.0,8,1156.0
https://www.aljazeera.com/indepth/opinion/child-suicide-symptom-traumatised-world-200203130429457.html,nan,9.698083778966133,65.43525061539768,100,82.5,73.0,8,nan
https://www.boredpanda.com/syrian-refugee-boy-hockey-equipment-from-canadians/,nan,18.3962703962704,65.49464424464423,100,nan,nan,nan,nan
https://www.aljazeera.com/news/2020/01/mediterranean-refugee-deaths-drop-experts-risks-remain-200130140748919.html,nan,13.084088236866013,65.18934049489606,100,82.5,73.0,8,nan
https://deadline.com/2020/02/home-interview-rufus-jones-ben-stiller-1202852005/,nan,15.060335497835496,65.58053058053059,50,87.5,44.0,8,2226.0
https://www.bbc.com/news/world-europe-51204084,nan,16.49166030048383,69.73871770930596,100,95.0,84.0,8,81.0
https://pib.gov.in/newsite/PrintRelease.aspx?relid=197650,nan,11.3169392336059,77.07074047351826,0,nan,nan,nan,nan
https://pib.gov.in/newsite/PrintRelease.aspx?relid=197469,nan,8.515963203463203,74.40476190476191,0,nan,nan,nan,nan
https://www.adeevee.com/2020/02/unhcr-refugee-undaily-bread-print/,nan,6.527777777777778,83.22222222222221,100,nan,nan,nan,nan
https://variety.com/2020/film/global/indie-sales-boards-animated-feature-the-crossing-about-children-refugee-exclusive-1203500711/,nan,15.142733134920634,67.59937545093794,50,nan,nan,nan,nan
https://www.reuters.com/article/us-europe-migrants-greece-mayors-idUSKBN1ZM1GH,nan,7.099376114081997,71.36853832442067,50,100.0,87.0,9,544.0
https://indianexpress.com/article/world/major-rise-in-migrants-stopped-off-libya-un-refugee-agency-6259994/,nan,8.558449074074074,77.20254629629629,0,nan,nan,nan,nan
https://www.reuters.com/article/us-turkey-eu-refugees-idUSKBN1ZN1YI,nan,15.862794612794612,68.03703703703704,50,100.0,87.0,9,544.0
https://www.aljazeera.com/news/2020/01/world-powers-meet-berlin-discuss-libya-crisis-200119023145417.html,nan,9.74092261904762,72.1516369047619,0,82.5,73.0,8,nan
https://www.aljazeera.com/news/2020/01/syrian-refugees-lebanon-jordan-stay-warm-200112152014227.html,nan,17.79973344556678,71.32793209876543,100,82.5,73.0,8,nan
https://www.reuters.com/article/us-newzealand-kiribati-climate-idUSKBN1ZK0GQ,nan,10.340728715728716,64.72997835497836,50,100.0,87.0,9,544.0
https://www.cbsnews.com/video/mandy-patinkin-on-the-refugee-crisis/,nan,6.875000000000001,74.375,100,95.0,71.0,8,843.0
https://www.reuters.com/article/us-davos-meeting-merkel-middle-east-idUSKBN1ZM23I,nan,5.267857142857143,66.69642857142857,50,100.0,87.0,9,544.0
https://www.thehindu.com/news/national/congress-knew-of-its-fate-kamal-nath/article30795682.ece,nan,5.171957671957672,74.99338624338624,0,nan,nan,nan,nan
https://www.reuters.com/article/us-yemen-security-idUSKBN1ZE0RO,nan,18.73051948051948,66.005291005291,50,100.0,87.0,9,544.0
https://www.insightsonindia.com/2020/01/17/bru-reang-refugee-agreement/,nan,9.67741935483871,84.78494623655915,0,nan,nan,nan,nan
https://www.aljazeera.com/indepth/inpictures/pictures-exodus-idlib-syria-conflict-escalates-200202065643945.html,nan,5.166666666666666,75.5669191919192,50,82.5,73.0,8,nan
